seed, mix_weight, epoch/n_epochs, val_loss, vcel1, vcel2, Siam_ACC, CE_ACC
1, 0.9663, 1/25, 0.74135, 2.2002, 2.4221, 0.5486, 23.09
1, 0.5149, 2/25, 0.73619, 1.7861, 2.0078, 0.5791, 33.95
1, 0.5148, 3/25, 0.74951, 1.6296, 2.4516, 0.5685, 41.410000000000004
1, 0.5306, 4/25, 0.78417, 1.7252, 2.1125, 0.5683, 42.05
1, 0.5486, 5/25, 0.74693, 1.6523, 2.2364, 0.5721, 45.76
1, 0.5383, 6/25, 0.82088, 1.5989, 2.1783, 0.5596, 45.17
1, 0.5530, 7/25, 0.80315, 1.5965, 2.4904, 0.5496, 47.61
1, 0.5635, 8/25, 0.79099, 1.5388, 2.1180, 0.5556, 49.61
1, 0.5507, 9/25, 0.68360, 1.4007, 2.0118, 0.5665, 62.5
1, 0.5343, 10/25, 0.80220, 1.5370, 1.9806, 0.5686, 56.269999999999996
1, 0.5310, 11/25, 0.77896, 1.4373, 2.0743, 0.5612, 59.62
1, 0.5282, 12/25, 0.95167, 1.3835, 1.6929, 0.5511, 56.779999999999994
1, 0.5279, 13/25, 0.78514, 1.3757, 1.9217, 0.5511, 59.12
1, 0.5428, 14/25, 0.73917, 1.1580, 2.0758, 0.5599, 66.19
1, 0.5323, 15/25, 0.86767, 1.1136, 1.9339, 0.5591, 68.11
1, 0.5739, 16/25, 0.79339, 1.2382, 2.1169, 0.56, 72.89
1, 0.5522, 17/25, 0.72763, 1.1397, 2.4720, 0.5546, 76.16000000000001
1, 0.5377, 18/25, 0.95799, 1.3083, 2.2386, 0.5348, 68.94
1, 0.5122, 19/25, 0.79015, 1.1658, 2.0039, 0.5568, 68.13
1, 0.5783, 20/25, 0.63009, 1.2341, 1.9263, 0.561, 67.53
1, 0.5217, 21/25, 0.67730, 1.1429, 1.8147, 0.5258, 76.25999999999999
1, 0.5129, 22/25, 0.84355, 1.0929, 2.0158, 0.5428, 60.199999999999996
1, 0.4788, 23/25, 0.80552, 1.1814, 1.8189, 0.5454, 68.26
1, 0.5523, 24/25, 0.71876, 1.0206, 2.7388, 0.5457, 76.4
1, 0.4952, 25/25, 0.85889, 1.0550, 1.9665, 0.5423, 72.89999999999999
2, 0.9553, 1/25, 0.74693, 2.2264, 2.3432, 0.5369, 23.549999999999997
2, 0.5419, 2/25, 0.77793, 1.9851, 2.1199, 0.563, 18.96
2, 0.5540, 3/25, 0.77594, 1.8816, 2.1437, 0.5722, 33.42
2, 0.5530, 4/25, 0.74974, 1.8902, 1.9660, 0.5849, 28.21
2, 0.5357, 5/25, 0.79300, 1.8597, 2.1902, 0.5806, 34.260000000000005
