seed, mix_weight, epoch/n_epochs, val_loss, vcel1, vcel2, Siam_ACC, CE_ACC
1, 1.0000, 1/25, 0.74495, 2.4507, 2.3746, 0.5503, 10.68
1, 1.0000, 2/25, 0.67639, 2.5399, 2.4697, 0.5711, 4.36
1, 1.0000, 3/25, 0.69542, 2.7170, 2.6038, 0.59, 13.100000000000001
1, 1.0000, 4/25, 0.72625, 2.8171, 2.5006, 0.5826, 20.849999999999998
1, 1.0000, 5/25, 0.73412, 2.6242, 2.6258, 0.578, 12.770000000000001
1, 1.0000, 6/25, 0.73489, 2.6715, 2.5800, 0.5585, 19.86
1, 1.0000, 7/25, 0.71284, 2.4701, 2.8668, 0.5607, 16.3
1, 1.0000, 8/25, 0.76190, 2.5069, 2.4093, 0.5453, 14.26
1, 1.0000, 9/25, 0.67460, 2.4908, 2.5242, 0.5566, 15.49
1, 1.0000, 10/25, 0.64371, 2.4667, 2.4716, 0.5454, 27.12
1, 1.0000, 11/25, 0.79002, 3.0637, 3.0998, 0.561, 6.279999999999999
1, 1.0000, 12/25, 0.74133, 2.6846, 3.3422, 0.5592, 15.409999999999998
1, 1.0000, 13/25, 0.65439, 2.8056, 3.0310, 0.5641, 14.04
1, 1.0000, 14/25, 0.65922, 2.7949, 2.5285, 0.5707, 14.31
1, 1.0000, 15/25, 0.70810, 2.4708, 3.0047, 0.551, 16.08
1, 1.0000, 16/25, 0.93154, 2.4224, 2.4066, 0.5238, 6.45
1, 1.0000, 17/25, 0.65993, 2.8549, 2.4001, 0.5424, 24.3
1, 1.0000, 18/25, 0.67099, 2.9052, 3.3301, 0.557, 19.85
1, 1.0000, 19/25, 0.73362, 2.7231, 2.4517, 0.5446, 33.81
1, 1.0000, 20/25, 0.66351, 2.6810, 2.6691, 0.5548, 23.23
1, 1.0000, 21/25, 0.71651, 2.6734, 2.7223, 0.5459, 17.19
1, 1.0000, 22/25, 0.74923, 3.0494, 2.8204, 0.5374, 18.44
1, 1.0000, 23/25, 0.66691, 2.7552, 2.7626, 0.5506, 16.619999999999997
1, 1.0000, 24/25, 0.66253, 2.0697, 2.1862, 0.5377, 19.17
1, 1.0000, 25/25, 0.67218, 2.0335, 2.7231, 0.5291, 35.08
2, 1.0000, 1/25, 0.72341, 2.5604, 2.6359, 0.5542, 18.0
2, 1.0000, 2/25, 0.69224, 2.5724, 2.4035, 0.5837, 12.64
2, 1.0000, 3/25, 0.70419, 2.3439, 2.6096, 0.5881, 17.06
2, 1.0000, 4/25, 0.67693, 2.2613, 2.5897, 0.5906, 17.82
2, 1.0000, 5/25, 0.70829, 2.2980, 2.3873, 0.5821, 8.02
2, 1.0000, 6/25, 0.71444, 2.2354, 2.7924, 0.5803, 11.75
2, 1.0000, 7/25, 0.61597, 2.4308, 2.4540, 0.6043, 10.92
2, 1.0000, 8/25, 0.76826, 2.1342, 2.6709, 0.5707, 6.279999999999999
2, 1.0000, 9/25, 0.69497, 2.3159, 2.1423, 0.5712, 6.370000000000001
2, 1.0000, 10/25, 0.63569, 2.6072, 3.0682, 0.5809, 9.65
2, 1.0000, 11/25, 0.67722, 2.5014, 2.1467, 0.5676, 3.6999999999999997
2, 1.0000, 12/25, 0.71498, 2.7188, 2.5764, 0.5782, 4.2299999999999995
2, 1.0000, 13/25, 0.62540, 2.3242, 2.8197, 0.5668, 5.17
2, 1.0000, 14/25, 0.80074, 2.3480, 2.7119, 0.5518, 4.68
2, 1.0000, 15/25, 0.62602, 2.6314, 2.7667, 0.5667, 2.74
2, 1.0000, 16/25, 0.82853, 2.3510, 2.4022, 0.5469, 3.19
2, 1.0000, 17/25, 0.76598, 2.5339, 2.6264, 0.5514, 8.16
2, 1.0000, 18/25, 0.59877, 2.5781, 2.4608, 0.5712, 4.5600000000000005
2, 1.0000, 19/25, 0.74938, 2.9434, 2.7015, 0.5471, 3.7900000000000005
2, 1.0000, 20/25, 0.73317, 2.3636, 2.6097, 0.5442, 4.06
2, 1.0000, 21/25, 0.69608, 2.5244, 2.3068, 0.5533, 5.48
2, 1.0000, 22/25, 0.75163, 2.8303, 2.8545, 0.544, 2.17
2, 1.0000, 23/25, 0.69377, 2.4475, 2.8765, 0.5392, 6.52
2, 1.0000, 24/25, 0.65447, 2.4281, 2.4645, 0.5509, 7.489999999999999
2, 1.0000, 25/25, 0.78716, 2.1786, 3.3836, 0.533, 6.6000000000000005
3, 1.0000, 1/25, 0.74106, 2.3601, 2.4945, 0.5539, 13.3
3, 1.0000, 2/25, 0.62065, 2.9269, 3.0317, 0.5824, 5.82
3, 1.0000, 3/25, 0.67758, 2.7855, 3.0113, 0.5857, 8.459999999999999
3, 1.0000, 4/25, 0.67093, 2.9008, 2.7701, 0.5894, 5.25
3, 1.0000, 5/25, 0.69227, 2.9317, 2.7985, 0.5763, 6.619999999999999
3, 1.0000, 6/25, 0.75608, 3.0505, 2.8073, 0.5665, 7.19
3, 1.0000, 7/25, 0.69083, 2.9001, 2.6915, 0.5789, 1.82
3, 1.0000, 8/25, 0.72151, 2.7670, 3.2455, 0.5709, 10.040000000000001
3, 1.0000, 9/25, 0.73905, 3.1194, 2.6047, 0.5683, 7.62
3, 1.0000, 10/25, 0.68622, 2.8724, 2.7581, 0.5658, 4.2700000000000005
3, 1.0000, 11/25, 0.78478, 2.9967, 2.8093, 0.5547, 9.24
3, 1.0000, 12/25, 0.87985, 3.0642, 3.0460, 0.5567, 5.66
3, 1.0000, 13/25, 0.69518, 2.8440, 2.7348, 0.5577, 8.649999999999999
3, 1.0000, 14/25, 0.71053, 2.9360, 3.0945, 0.5472, 4.569999999999999
3, 1.0000, 15/25, 0.76148, 3.0682, 3.0409, 0.5535, 2.79
3, 1.0000, 16/25, 0.74337, 2.7218, 2.8300, 0.5525, 8.01
3, 1.0000, 17/25, 0.79243, 2.8222, 2.8566, 0.5382, 12.64
3, 1.0000, 18/25, 0.79650, 3.1013, 2.9659, 0.5363, 5.11
3, 1.0000, 19/25, 0.65233, 2.6405, 3.2116, 0.5493, 10.24
3, 1.0000, 20/25, 0.69076, 2.9351, 2.9563, 0.5391, 1.47
3, 1.0000, 21/25, 0.60520, 2.8810, 3.0936, 0.5457, 6.93
3, 1.0000, 22/25, 0.70195, 2.8995, 2.9908, 0.5345, 8.1
3, 1.0000, 23/25, 0.89140, 2.9803, 3.1380, 0.5346, 6.3
