seed, mix_weight, epoch/n_epochs, val_loss, vcel1, vcel2, Siam_ACC, CE_ACC
1, 0.0000, 1/25, 13.39783, 1.5675, 1.7311, 0.4677, 39.21
1, 0.0000, 2/25, 26.75035, 1.2022, 1.5746, 0.4804, 57.85
1, 0.0000, 3/25, 33.41896, 1.0598, 1.5366, 0.4842, 61.49
1, 0.0000, 4/25, 48.27352, 0.8925, 1.4739, 0.4869, 71.11
1, 0.0000, 5/25, 57.13923, 0.7964, 1.2644, 0.4874, 75.67
1, 0.0000, 6/25, 70.82069, 0.7491, 1.4899, 0.4884, 74.41
1, 0.0000, 7/25, 83.22041, 0.7053, 1.2257, 0.4892, 75.39
1, 0.0000, 8/25, 91.38858, 0.7387, 1.3370, 0.4914, 74.61
1, 0.0000, 9/25, 106.81595, 0.6404, 1.1322, 0.4909, 83.1
1, 0.0000, 10/25, 116.57063, 0.6113, 1.0922, 0.4919, 86.31
1, 0.0000, 11/25, 144.81531, 0.5179, 1.0495, 0.493, 89.53999999999999
1, 0.0000, 12/25, 154.52720, 0.4955, 1.2427, 0.4925, 90.42999999999999
1, 0.0000, 13/25, 193.54620, 0.4736, 0.9879, 0.4926, 91.79
1, 0.0000, 14/25, 201.65812, 0.4664, 1.1340, 0.4918, 91.14
1, 0.0000, 15/25, 249.81195, 0.4579, 0.9968, 0.4965, 89.16
1, 0.0000, 16/25, 257.81836, 0.4845, 1.9460, 0.4931, 89.92999999999999
1, 0.0000, 17/25, 278.78423, 0.3486, 0.9499, 0.4963, 93.57
1, 0.0000, 18/25, 293.38460, 0.3907, 1.0132, 0.4954, 92.73
1, 0.0000, 19/25, 318.05324, 0.3738, 1.3912, 0.4972, 92.88
1, 0.0000, 20/25, 339.42878, 0.3549, 1.2322, 0.4986, 94.52000000000001
1, 0.0000, 21/25, 400.54783, 0.2967, 0.8151, 0.4955, 94.36
1, 0.0000, 22/25, 408.45446, 0.3219, 1.2141, 0.4944, 95.00999999999999
1, 0.0000, 23/25, 408.74104, 0.2581, 1.4145, 0.4987, 94.57
1, 0.0000, 24/25, 424.36221, 0.3768, 2.1127, 0.4956, 94.73
1, 0.0000, 25/25, 570.88876, 0.3712, 2.2350, 0.4982, 94.34
1, 0.2000, 1/25, 1.27708, 1.7669, 1.8782, 0.4991, 34.74
1, 0.2000, 2/25, 1.14754, 1.5963, 2.0464, 0.5313, 60.150000000000006
1, 0.2000, 3/25, 1.27629, 1.5323, 1.9203, 0.5261, 57.720000000000006
1, 0.2000, 4/25, 1.20253, 1.4526, 1.9514, 0.5342, 58.660000000000004
1, 0.2000, 5/25, 1.22676, 1.4342, 2.0535, 0.5337, 64.5
1, 0.2000, 6/25, 1.26239, 1.2977, 1.8795, 0.5381, 76.18
1, 0.2000, 7/25, 1.40704, 1.3164, 1.8211, 0.5437, 77.63
1, 0.2000, 8/25, 1.34224, 1.2429, 1.5808, 0.5398, 79.03
1, 0.2000, 9/25, 1.46454, 1.0435, 2.2514, 0.5269, 77.78
1, 0.2000, 10/25, 1.43547, 1.1751, 2.5581, 0.5376, 78.77
1, 0.2000, 11/25, 1.61403, 1.0999, 2.0449, 0.5258, 79.03
1, 0.2000, 12/25, 1.34402, 1.0679, 1.7904, 0.5508, 77.14999999999999
1, 0.2000, 13/25, 1.37086, 0.9686, 2.3533, 0.531, 78.24
1, 0.2000, 14/25, 1.62386, 0.8958, 1.9465, 0.5088, 89.81
1, 0.2000, 15/25, 0.91979, 1.1249, 2.0373, 0.5421, 82.69
1, 0.2000, 16/25, 1.60479, 0.8927, 1.6891, 0.5375, 91.97
1, 0.2000, 17/25, 1.44686, 0.8698, 2.7991, 0.5364, 91.16
1, 0.2000, 18/25, 1.34413, 0.9125, 2.3906, 0.5167, 90.81
1, 0.2000, 19/25, 1.73622, 0.9203, 2.4923, 0.523, 88.61
1, 0.2000, 20/25, 1.42650, 0.8841, 2.9068, 0.5399, 91.96
1, 0.2000, 21/25, 1.42091, 0.7633, 4.4353, 0.5117, 91.81
1, 0.2000, 22/25, 2.10851, 0.8484, 2.0571, 0.5186, 80.33
1, 0.2000, 23/25, 1.27742, 0.8120, 2.3769, 0.5244, 90.97
1, 0.2000, 24/25, 1.82286, 0.7795, 2.4889, 0.5207, 88.06
1, 0.2000, 25/25, 1.19119, 0.8490, 4.2425, 0.5234, 90.27
1, 0.4000, 1/25, 0.91369, 1.8144, 1.9342, 0.5278, 24.740000000000002
1, 0.4000, 2/25, 0.91836, 1.6770, 2.1260, 0.5543, 45.82
1, 0.4000, 3/25, 0.80254, 1.6106, 2.0685, 0.5615, 56.36
1, 0.4000, 4/25, 0.81498, 1.5304, 2.1477, 0.5551, 52.21
1, 0.4000, 5/25, 0.86684, 1.4726, 2.4082, 0.5549, 61.8
1, 0.4000, 6/25, 0.90958, 1.4854, 2.1160, 0.5537, 56.00000000000001
1, 0.4000, 7/25, 0.91071, 1.4686, 2.1123, 0.5515, 62.580000000000005
1, 0.4000, 8/25, 0.93070, 1.2911, 2.5022, 0.5508, 61.760000000000005
1, 0.4000, 9/25, 0.88410, 1.3171, 1.7770, 0.5598, 67.03
1, 0.4000, 10/25, 0.85674, 1.4190, 1.8947, 0.5524, 61.92999999999999
1, 0.4000, 11/25, 1.11251, 1.2394, 2.0629, 0.5467, 71.41
1, 0.4000, 12/25, 0.88066, 1.2923, 2.1619, 0.5551, 63.63999999999999
1, 0.4000, 13/25, 0.89952, 1.2948, 1.8619, 0.5376, 62.160000000000004
1, 0.4000, 14/25, 1.15109, 1.1271, 1.7997, 0.5272, 64.9
1, 0.4000, 15/25, 0.99572, 1.2324, 2.1410, 0.5455, 61.83
1, 0.4000, 16/25, 1.03335, 1.0323, 2.8742, 0.5448, 73.28
1, 0.4000, 17/25, 0.96678, 1.1282, 2.2733, 0.5458, 71.25
1, 0.4000, 18/25, 0.92527, 1.0139, 2.4454, 0.5381, 73.58
1, 0.4000, 19/25, 1.06983, 1.1073, 2.1464, 0.5345, 78.58000000000001
1, 0.4000, 20/25, 1.04724, 1.0896, 2.3323, 0.5329, 85.3
1, 0.4000, 21/25, 0.96838, 0.9492, 2.9974, 0.5307, 91.69
1, 0.4000, 22/25, 1.33840, 0.9898, 3.6442, 0.5108, 90.89
1, 0.4000, 23/25, 0.96910, 1.0506, 2.1711, 0.5154, 91.56
1, 0.4000, 24/25, 1.02666, 0.8153, 2.2805, 0.5121, 96.3
1, 0.4000, 25/25, 0.88187, 0.9138, 2.0075, 0.5519, 87.67
1, 0.6000, 1/25, 0.83280, 1.8598, 1.9310, 0.5396, 20.49
1, 0.6000, 2/25, 0.80311, 1.6938, 2.0493, 0.5624, 34.86
1, 0.6000, 3/25, 0.76756, 1.6406, 1.9529, 0.5676, 45.97
1, 0.6000, 4/25, 0.76329, 1.6352, 1.8851, 0.5724, 51.73
1, 0.6000, 5/25, 0.71952, 1.5652, 2.0098, 0.5724, 62.19
1, 0.6000, 6/25, 0.73246, 1.5353, 2.0316, 0.5705, 62.49
1, 0.6000, 7/25, 0.73606, 1.4838, 2.1224, 0.5762, 60.95
1, 0.6000, 8/25, 0.72270, 1.5592, 2.2200, 0.5701, 56.3
1, 0.6000, 9/25, 0.86159, 1.3750, 1.9775, 0.5555, 62.239999999999995
1, 0.6000, 10/25, 0.76436, 1.3305, 2.3165, 0.5578, 68.01
1, 0.6000, 11/25, 0.86753, 1.4298, 2.1451, 0.5502, 63.190000000000005
1, 0.6000, 12/25, 0.81604, 1.2518, 2.4687, 0.557, 66.64
1, 0.6000, 13/25, 0.85218, 1.1398, 1.8795, 0.558, 67.07
1, 0.6000, 14/25, 0.67354, 1.2913, 1.9736, 0.545, 56.769999999999996
1, 0.6000, 15/25, 0.84538, 1.3399, 1.7297, 0.539, 57.08
1, 0.6000, 16/25, 0.84594, 1.0588, 2.0158, 0.5569, 75.55
