0, 0.5000, 20, 20, 0.13778, 2.0868, 2.0025, 0.939, 26.97
0, 0.7500, 20, 20, 0.06569, 2.1013, 2.0367, 0.939, 21.77
0, 1.0000, 20, 20, 0.01236, 2.6196, 2.2103, 0.8536, 9.58
1, 0.5000, 20, 20, 0.47109, 1.9010, 1.7550, 0.9107, 20.45
1, 0.7500, 20, 20, 0.15937, 2.0076, 1.8739, 0.9499, 19.86
1, 1.0000, 20, 20, 0.01323, 2.4606, 2.5356, 0.848, 0.37
2, 0.5000, 20, 20, 0.52378, 1.6604, 1.7776, 0.9326, 20.669999999999998
2, 0.7500, 20, 20, 0.22227, 1.7751, 1.8673, 0.9437, 20.57
2, 1.0000, 20, 20, 0.01490, 2.3630, 2.3958, 0.8458, 19.89
3, 0.5000, 20, 20, 0.18076, 1.8757, 2.1907, 0.9437, 26.619999999999997
3, 0.7500, 20, 20, 0.07672, 1.9117, 2.2322, 0.9459, 31.019999999999996
3, 1.0000, 20, 20, 0.01277, 2.5503, 2.5515, 0.863, 0.11
4, 0.5000, 20, 20, 0.44228, 1.8536, 1.8504, 0.9154, 24.529999999999998
4, 0.7500, 20, 20, 0.16059, 1.9398, 1.9570, 0.9305, 28.610000000000003
4, 1.0000, 20, 20, 0.01317, 2.4178, 2.4480, 0.8393, 0.08
