0, 0.6764, 0.7382
1, 0.7536, 0.7141
2, 0.6746, 0.6521
3, 0.7283, 0.7527
4, 0.6993, 0.705
5, 0.7119, 0.7001
6, 0.7595, 0.6993
7, 0.6973, 0.6805
8, 0.6758, 0.685
9, 0.7083, 0.6677
10, 0.716, 0.6522
11, 0.7083, 0.705
12, 0.7506, 0.7154
13, 0.8015, 0.821
14, 0.6982, 0.7037
15, 0.6683, 0.6956
16, 0.7373, 0.6866
17, 0.6918, 0.7045
18, 0.6785, 0.6641
19, 0.6621, 0.6977
20, 0.7105, 0.6563
21, 0.7113, 0.6463
22, 0.6848, 0.6596
23, 0.7332, 0.6949
24, 0.6489, 0.6713
25, 0.6927, 0.7389
26, 0.6626, 0.6026
27, 0.725, 0.7257
28, 0.7062, 0.7033
29, 0.7534, 0.7
30, 0.7087, 0.7104
31, 0.8001, 0.7292
32, 0.8227, 0.755
33, 0.6428, 0.6597
34, 0.669, 0.6359
35, 0.7222, 0.6641
36, 0.7291, 0.6708
37, 0.7269, 0.7299
38, 0.7017, 0.6712
39, 0.7496, 0.6818
40, 0.5952, 0.6423
41, 0.7455, 0.7104
42, 0.6877, 0.7156
43, 0.702, 0.6916
44, 0.716, 0.7151
45, 0.7317, 0.6211
46, 0.7354, 0.7357
47, 0.769, 0.756
48, 0.7089, 0.6387
49, 0.733, 0.746
